7.137 D05 J07
7.221 C04 J06
9.015 D06 C05
9.88 D01 C01
10.133 J01 J02
10.66 A02 J01
10.773 D06 J07
11.591 A04 J03
11.69 C03 C04
12.071 D01 B02
12.107 D03 J02
12.273 A01 D01
12.364 A03 J01
12.634 C03 J08
12.759 A04_1 J03
13.217 C01 B02
13.674 C05 J06
13.734 D04 J04
13.786 D05 J04
14.05 J06 J07
14.531 C05 J07
14.749 J04 J07
14.877 A06_1 D05
15.454 A05 J03
15.527 J04 J06
15.818 B15 B17
15.955 A01 B01
15.956 B01 B03
15.978 D04 J03
16.083 A02 J02
16.1 D02 D03
16.159 B03 B04
16.387 D05 D06
16.624 A06 J05
16.855 A04 A05
16.975 A03 J02
17.076 D06 C06
17.155 A02 D02
17.49 A05 A06_1
17.687 C03 J06
17.939 C05 C06
17.965 A04_1 A05
18.488 D06 J06
18.801 C04 C05
19.356 D02 C01
19.408 C04 J04
19.646 D05 J06
19.954 D04 C03
20.05 A06_1 J05
20.285 D02 J02
20.432 J03 J04
20.441 B04 B06
20.656 A03 A04_1
20.846 A05 A06
20.995 A01 A02
21.13 A01 C01
21.219 C04 J07
21.381 D03 J01
21.428 B12 B13
21.56 A06 J07
21.589 D05 C05
21.795 A06_1 J07
21.814 B17 B18
21.845 B02 B05
21.964 D01 D02
22.367 B07 B10
22.422 D03 D04
22.535 C03 J04
22.718 A02 A03
22.766 B04 B07
22.834 A02 D03
22.866 B03 B06
23.012 A01 B02
23.249 B19 B20
23.509 D02 J01
23.546 D05 J05
23.597 C04 J08
23.764 B13 B16_1
23.828 A01 D02
23.844 B04 B05
24.066 A06_1 J04
24.249 D04 C04
24.324 D01 B01
24.371 D04 J06
24.482 B08 B11
24.643 B12 B15
24.784 B13 B15
24.838 B07 B08
24.941 B16 B20
25.053 D06 J05
25.142 D06 C04
25.165 D06 J04
25.276 C02 J08
25.29 B05 B08
25.366 B09 B10
25.651 C05 J04
25.77 A05 J04
25.773 B13 B16
25.889 A06 J04
25.919 D03 J08
25.947 A05 D05
26.066 B06 B07
26.274 D04 J02
26.306 J05 J07
26.411 D05 C04
26.669 B17 B19
26.96 B16_1 B20
27.04 B18 B19
27.233 D04 D05
27.263 D04 J08
27.272 A06 D06
27.476 J02 J03
27.685 A04_1 D04
27.772 A03 J03
27.807 A02 D01
27.819 C06 J07
28.074 A06_1 J03
28.226 A04_1 J02
28.273 B11 B14
28.325 D04 J07
28.474 A04 J02
28.626 D05 J03
28.688 A06_1 D06
28.81 A05 D04
28.868 A03 D03
29.261 B09 B12
29.362 D03 C03
29.367 A01 B03
29.445 B01 B04
29.698 C01 C02
30.067 B05 B07
30.098 B01 B02
30.148 B06 B09
30.159 J06 J08
30.269 C03 J07
30.363 B02 B04
30.384 B14 B16_1
30.448 C03 C05
30.461 A04_1 J01
30.564 D03 J03
31.062 A02 C01
31.073 B16 B19
31.12 A04 J01
31.371 B14 B16
31.39 A06 J03
31.47 B07 B09
31.551 A01 J01
31.561 B13 B14
31.604 C06 J06
31.675 D02 B02
31.812 A04 J04
31.926 D02 C02
32.28 B10 B11
32.363 B16_1 B19
32.636 A05 J07
32.813 B02 B03
32.875 D01 B03
32.894 C06 J05
33.052 A04_1 J04
33.199 J03 J07
33.226 D05 C06
33.261 B16_1 B17
33.328 B15 B16_1
33.456 D01 B05
33.558 B08 B10
33.566 B16 B17
33.617 J01 J03
33.679 A02 B01
33.768 D05 C03
33.968 J04 J08
34.067 C05 J05
34.201 D02 J08
34.204 C01 B01
34.222 C01 B05
34.269 A06_1 J06
34.335 B10 B12
34.417 A06_1 D04
34.514 B15 B16
34.744 D03 C01
34.746 A06 J06
34.797 B10 B13
34.81 A06 C05
34.962 A04_1 A06_1
35.206 A03 D02
35.321 A03 D04
35.614 J03 J06
35.648 D04 J01
35.676 A06_1 C05
35.681 B13 B17
35.739 A04_1 D03
35.746 C03 J03
35.975 A01 J02
36.007 D03 J04
36.093 D03 C02
36.145 D01 B04
36.175 D06 C03
36.311 B03 B05
36.408 C04 C06
36.567 B15 B18
37.156 D04 C05
37.175 A04 A06
37.246 J04 J05
37.408 A05 J05
37.645 J02 J08
37.665 B03 B07
37.852 B04 B08
37.865 C04 J03
37.903 C02 C03
38.036 A01 B04
38.046 D01 D03
38.217 A01 D03
38.22 D01 J01
38.344 D04 D06
38.398 A03 A05
38.485 D02 D04
38.572 B01 B06
39.109 C03 J02
39.367 C01 J02
39.433 C02 B02
39.457 D01 C02
39.536 A04_1 D05
39.62 D03 C04
39.632 J02 J04
39.675 D01 J02
39.703 B07 B11
39.753 D02 B01
39.817 A02 B02
39.897 B10 B14
40.114 J05 J06
40.187 B15 B19
40.385 B12 B17
40.439 C01 J01
40.66 A05 J06
40.687 A06_1 C04
40.977 A02 A04_1
40.98 B06 B10
41.434 A06 C04
41.81 C06 J04
41.883 C01 B03
41.891 D02 C03
42.046 A02 D04
42.239 A05 J02
42.267 A05 D06
42.29 C05 J08
42.292 A01 B05
42.691 C01 B04
42.692 B01 B05
42.886 J07 J08
42.933 A02 J03
42.95 J03 J08
42.954 D03 J06
43.053 A01 A03
43.178 J01 B01
43.183 B05 B06
43.624 A04 J07
43.686 A06_1 C06
43.722 B12 B16_1
43.878 B17 B20
43.918 B09 B13
43.958 D06 J03
44.71 B04 B10
44.765 C01 J08
44.933 A04_1 J07
45.043 B04 B09
45.178 A05 C04
45.612 B12 B16
45.644 D02 J03
45.889 C05 J03
46.014 A05 D03
46.102 D05 J08
46.215 A03 J04
46.415 A06_1 C03
46.596 A05 C03
46.7 A04 C03
46.924 A05 J01
47.078 A05 C05
47.108 B02 B08
47.144 A04 J06
47.202 C02 J02
47.286 J01 J08
47.336 C04 J05
47.429 J03 J05
47.443 B02 B07
47.542 D03 B02
47.622 A02 J08
47.632 A04_1 C03
47.899 A06 C03
47.984 C04 J02
